"   ";"TECHNISCHER_PLATZ";"BEZEICHNUNG";"BETRIEBSBEREICH";"SAP_BETRIEBSBEREICH";"ROWID"
"1";"VIW-63-34510";"220/380kV Westtirol - Bürs";"3WB";"3WB";"AAWumUAALAAGHwmAAA"
"2";"VIW-63-14810";"110/220/380kV Bürs - Brederis";"3BB";"3BB";"AAWumUAALAAGHwmAAB"
"3";"VIW-63-14560";"220kV Vermunt-Partenen";"2VP";"2VP";"AAWumUAALAAGHwmAAC"
"4";"VIW-63-14550";"220kV Partenen - Bürs";"2PB";"2PB";"AAWumUAALAAGHwmAAD"
"5";"VIW-63-14540";"220kV Latschau - Bürs";"2LB";"2LB";"AAWumUAALAAGHwmAAE"
"6";"VIW-63-14530";"220/380kV Bürs-Staatsgr. (Herbertingen)";"3BH";"3BH";"AAWumUAALAAGHwmAAF"
"7";"VIW-63-14520";"380kV Bürs-Staatsgrenze (Dellmensingen)";"3BD";"3BD";"AAWumUAALAAGHwmAAG"
"8";"VIW-63-13640";"110kV Bürs - Arlberg";"1BA";"1BA";"AAWumUAALAAGHwmAAH"
"9";"VIW-63-13630";"110kV Rodund - Bürs";"1RB";"1RB";"AAWumUAALAAGHwmAAI"
"10";"VIW-63-13620";"110kV Partenen - Bürs";"1PB";"1PB";"AAWumUAALAAGHwmAAJ"
"11";"VIW-63-13610";"110kV Trominier - Partenen";"1TP";"1TP";"AAWumUAALAAGHwmAAK"
"12";"VIW-00";"Anlagen-Übergreifend";"";"";"AAWumUAALAAGHwnABK"
"13";"VIW-05";"Illwerke Control Center (ICC)";"ICC";"ICC";"AAWumUAALAAGHwnABL"
"14";"VIW-11";"Bereich Obervermuntwerk I";"OVW I";"OV1";"AAWumUAALAAGHwnABM"
"15";"VIW-12";"Bereich Vermuntwerk";"VEW";"VEW";"AAWumUAALAAGHwnABN"
"16";"VIW-13";"Bereich Kopswerk I";"KOW I";"KO1";"AAWumUAALAAGHwnABO"
"17";"VIW-14";"Bereich Kopswerk II";"KOW II";"KO2";"AAWumUAALAAGHwnABP"
"18";"VIW-15";"Bereich Rifawerk";"RIW";"RIW";"AAWumUAALAAGHwnABQ"
"19";"VIW-16";"Bereich Pumpwerk Kleinvermunt";"PKV";"PKV";"AAWumUAALAAGHwnABR"
"20";"VIW-17";"Bereich Obervermuntwerk II";"OVW II";"OV2";"AAWumUAALAAGHwnABS"
"21";"VIW-21";"Bereich Lünerseewerk";"LÜW";"LUW";"AAWumUAALAAGHwnABT"
"22";"VIW-22";"Bereich Latschauwerk";"LAW";"LAW";"AAWumUAALAAGHwnABU"
"23";"VIW-23";"Bereich Rodundwerk I";"ROW I";"RO1";"AAWumUAALAAGHwnABV"
"24";"VIW-24";"Bereich Rodundwerk II";"ROW II";"RO2";"AAWumUAALAAGHwnABW"
"25";"VIW-27";"Bereich Rellswerk";"REW";"REW";"AAWumUAALAAGHwnABX"
"26";"VIW-31";"Bereich Walgauwerk";"WAW";"WAW";"AAWumUAALAAGHwnABY"
"27";"VIW-37";"Kleinkraftwerk Brunnenfeld";"";"";"AAWumUAALAAGHwnABZ"
"28";"VIW-3A";"Kraftwerk Dabaladabach";"KOL";"KOL";"AAWumUAALAAGHwnABa"
"29";"VIW-61";"Bereich Umspannanlage Bürs";"UAB";"UAB";"AAWumUAALAAGHwnABb"
"30";"VIW-63";"Kraftwerksleitungen";"ETA";"ETA";"AAWumUAALAAGHwnABc"
"31";"VIW-65";"Umspannwerk Galgenul";"UWG";"UWG";"AAWumUAALAAGHwnABd"
"32";"VKW-02-___25";"Kraftwerk Gampadels Oberstufe";"KGO";"KGO";"AAWumUAALAAGHwnABe"
"33";"VKW-02-___26";"Kraftwerk Gampadels Unterstufe";"KGU";"KGU";"AAWumUAALAAGHwnABf"
"34";"VKW-02-___33";"Kraftwerk Lutz Unterstufe";"KLU";"KLU";"AAWumUAALAAGHwnABg"
"35";"VKW-02-___34";"Kraftwerk Lutz Oberstufe";"KLO";"KLO";"AAWumUAALAAGHwnABh"
"36";"VKW-02-___35";"Kraftwerk Nüziders";"KNU";"KNU";"AAWumUAALAAGHwnABi"
"37";"VKW-02-___36";"Kraftwerk Ebensand";"KEB";"KEB";"AAWumUAALAAGHwnABj"
"38";"VKW-02-___38";"Kraftwerk Rankweil (Gewerbepark)";"KRA";"KRA";"AAWumUAALAAGHwnABk"
"39";"VKW-02-___41";"Kraftwerk Langenegg";"KLA";"KLA";"AAWumUAALAAGHwnABl"
"40";"VKW-02-___42";"Kraftwerk Alberschwende";"KAL";"KAL";"AAWumUAALAAGHwnABm"
"41";"VKW-02-___43";"Kraftwerk Andelsbuch";"KAN";"KAN";"AAWumUAALAAGHwnABn"
"42";"VKW-02-___44";"Kraftwerk Au";"KAU";"KAU";"AAWumUAALAAGHwnABo"
"43";"VKW-02-___45";"Kraftwerk Rieden";"KRI";"KRI";"AAWumUAALAAGHwnABp"
"44";"VKW-02-___46";"Kraftwerk Schoppernau";"KSP";"KSP";"AAWumUAALAAGHwnABq"
"45";"VKW-02-___47";"Kraftwerk Lochau (Projekt)";"";"";"AAWumUAALAAGHwnABr"
"46";"VKW-02-___51";"Kraftwerk Walkerbach";"KWA";"KWA";"AAWumUAALAAGHwnABs"
"47";"VKW-02-___52";"Kraftwerk Klösterle";"KKL";"KKL";"AAWumUAALAAGHwnABt"
"48";"VKW-22";"Kleinwasserkraft";"";"";"AAWumUAALAAGHwnABu"
