"   ";"EBENE";"KKS_STANDORT";"GESELLSCHAFT";"KKS_STANDORT_1";"BEZEICHNUNG";"TEAM_KURZ";"TEAM_BEZEICHNUNG";"VERANTWORTLICH";"TIMESTAMP";"BEREICH";"BETRIEB";"BEDARFSTRÄGER";"ROWID"
"1";"2";"VKW-22-10401";"VKW";"";"Kraftwerk Arbenbach";"PBO KBL";"Kraftwerke Bregenzerwald";"BOW";"";"PBO";"illwerkevkw";"WK";"AAVY2EAAeAAIETjAAA"
"2";"2";"VIW-28";"VIW";"28";"Kraftwerksprojekt";"TBA BPR";"Kraftwerke Montafon Lünerseewerk";"WAS";"";"TBA";"";"";"AAVY2EAAeAAIETjAAB"
"3";"5";"VIW-65";"VIW";"65";"UW Galgenul";"UTA UTS";"Umspannanlagen Transportsysteme";"Bjo";"";"UTS";"illwerkevkw";"WK";"AAVY2EAAeAAIETkAAA"
"4";"2";"VIW-3Z";"VIW";"3Z";"Referenzkraftwerk";"CPA AMT";"Controlling Prozesse Assets";"ROB";"";"CPA";"Illwerkevkw";"WK";"AAVY2EAAeAAIETkAAD"
"5";"5";"VKW-03-18901";"VIW";"";"UW Tschagguns";"UTA UTS";"Umspannanlagen Transportsysteme";"Bjo";"";"UTS";"illwerkevkw";"WK";"AAVY2EAAeAAIETlAAA"
"6";"2";"VKW-22-13501";"VKW";"";"Kraftwerk Bolgenach";"PBO KBL";"Kraftwerke Bregenzerwald";"BOW";"";"PBO";"illwerkevkw";"WK";"AAVY2EAAeAAIETlAAB"
"7";"2";"VKW-02-___47";"VKW";"02";"Kraftwerk Lochau";"TBA BPR";"Kraftwerke Bregenzerwald";"WAS";"";"TBA";"illwerkevkw";"WK";"AAVY2EAAeAAIETlAAC"
"8";"2";"VKW-22-16101";"VKW";"";"Kraftwerk Meng";"TBA BPR";"Kleinwasserkraftwerke";"WAS";"";"TBA";"illwerkevkw";"WK";"AAVY2EAAeAAIETmAAA"
"9";"1";"VIW";"VIW";"";"Illwerke-Anlagen";"PMO";"Kraftwerke Montafon";"KTH";"";"PMO";"illwerkevkw";"WK";"AAVY2EAAeAAIETnAAC"
"10";"2";"VIW-00";"VIW";"00";"VIW Anlagen-Übergreifend";"PMO";"Kraftwerke Montafon";"KTH";"";"PMO";"illwerkevkw";"WK";"AAVY2EAAeAAIETnAAH"
"11";"2";"VIW-05";"VIW";"05";"Illwerke Control Center (ICC)";"ECA";"Energiewirtschaft";"PFKL";"";"ECA";"illwerkevkw";"WK";"AAVY2EAAeAAIETnAAI"
"12";"2";"VIW-11";"VIW";"11";"Bereich Obervermuntwerk I";"PMO KMV";"Kraftwerke Montafon Vermuntwerk";"RULU";"";"PMO";"illwerkevkw";"WK";"AAVY2EAAeAAIETnAAJ"
"13";"2";"VIW-12";"VIW";"12";"Bereich Vermuntwerk";"PMO KMV";"Kraftwerke Montafon Vermuntwerk";"RULU";"";"PMO";"illwerkevkw";"WK";"AAVY2EAAeAAIETnAAK"
"14";"2";"VIW-13";"VIW";"13";"Bereich Kopswerk I";"PMO KMK";"Kraftwerke Montafon Kopswerk";"MACR";"";"PMO";"illwerkevkw";"WK";"AAVY2EAAeAAIETnAAL"
"15";"2";"VIW-14";"VIW";"14";"Bereich Kopswerk II";"PMO KMK";"Kraftwerke Montafon Kopswerk";"MACR";"";"PMO";"illwerkevkw";"WK";"AAVY2EAAeAAIETnAAM"
